"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Dominica","DMA","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dinamarca","DNK","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.86","","","3.85","","4.02","","3.78252","","3.815794","","3.99","","","","4.1","","",
"República Dominicana","DOM","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.38","","","2.82","","2.7","","2.860551","","2.62728","","2.66","","","","2.6","","",
"Argelia","DZA","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.06","","","2.36","","2.41","","2.649451","","2.769683","","2.45","","","","2.5","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.58153846153846","","","2.72692307692308","","2.77230769230769","","2.85316438461538","","2.787426","","2.81538461538462","","","","2.95833333333333","","",
"inicial del dividendo demográfico","EAR","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.48382978723404","","","2.65632653061224","","2.63787234042553","","2.69526668","","2.65887832","","2.63297872340426","","","","2.74651162790698","","",
"Asia oriental y el Pacífico","EAS","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.0235","","","3.1115","","3.139","","3.18375385","","3.13744447619048","","3.14761904761905","","","","3.3","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.34142857142857","","","2.63875","","2.65375","","2.6635915","","2.498787625","","2.656875","","","","2.72","","",
"Europa y Asia central","ECS","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.08068181818182","","","3.19191489361702","","3.18723404255319","","3.25684406382979","","3.22612140425532","","3.24042553191489","","","","3.32391304347826","","",
"Ecuador","ECU","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.6","","","2.77","","2.76","","2.710986","","2.779081","","2.88","","","","","","",
"Egipto, República Árabe de","EGY","Índice de desempeño logístico: Total (De 1= bajo a 5= alto)","LP.LPI.OVRL.XQ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37","","","2.61","","2.98","","2.965911","","3.184964","","2.82","","","","3.1","","",
